ACTUAL TIME (ms),TIME INTERVAL (ms),Accel X,Accel Y,label
,190,-0.2,-0.2,1
4940,1,-0.12709045,4.874481,0
5321,4,-0.09274292,4.91008,0
2736,2,-0.536499,4.743149,0
9599,5,0.77934265,4.6654053,0
,176,-0.2,0.2,1
4118,7,0.09251404,4.88414,0
9442,2,0.4491577,4.4958344,0
6560,11,0.46939087,4.953064,0
1172,0,-0.9138489,4.4684296,0
4819,0,0.21875,4.920746,0
4122,4,0.19963074,4.9213257,0
8539,7,0.31887817,4.258362,0
5185,3,0.10417175,4.9613495,0
10681,4,0.61550903,4.5325317,0
6610,7,0.4895172,4.9834747,0
4982,5,0.266922,5.0915375,0
3926,7,-0.3577881,4.791168,0
2435,4,-1.1182861,4.883301,0
11193,8,0.45939636,4.3818665,0
988,0,-1.8417816,3.9299011,0
10865,3,0.2043457,4.2947235,0
,86,-8.6,-2.2,1
5645,3,0.11192322,4.8613586,0
9419,4,0.39283752,4.4685364,0
5708,4,0.16825867,4.766861,0
7611,0,0.35017395,3.8306122,0
121,2,-4.5228424,1.6162872,0
12088,4,0.621109,4.484268,0
3770,7,-0.32922363,4.9104004,0
8,8,-3.3475952,1.9981384,0
12387,3,0.3646698,4.4168243,0
7353,3,0.3239441,4.643265,0
7919,8,0.75257874,3.2714996,0
10064,4,0.65304565,4.622345,0
6875,3,0.39904785,4.9698944,0
7611,0,0.27449036,3.5918121,0
399,4,-2.9289246,2.6058502,0
325,4,-2.9990234,3.1095886,0
12063,7,0.63822937,4.4791107,0
9924,5,0.64424133,4.6201324,0
1454,8,-0.9015198,5.4072723,0
10381,4,0.44311523,4.602066,0
1361,4,-0.51130676,4.895981,0
6021,8,0.5856476,5.0928802,0
9259,7,0.45635986,4.434555,0
642,4,-2.7940826,4.5860596,0
6169,4,0.23449707,4.8395996,0
12466,4,0.54577637,4.446396,0
4337,4,0.17018127,5.177887,0
2474,6,-0.6114502,5.0523224,0
9661,8,0.62779236,4.5943146,0
5229,6,-0.13494873,4.763626,0
6766,0,0.17651367,4.929306,0
4153,8,0.34143066,5.1428223,0
11681,9,0.60832214,4.446884,0
10028,4,0.6343689,4.679901,0
2044,0,-1.6203918,5.113312,0
,150,-0.2,1,1
11399,7,0.23483276,4.3019104,0
,152,-0.2,-0.6,1
4524,4,0.11680603,5.214096,0
6482,4,0.17285156,4.9492188,0
443,8,-3.5894928,2.427185,0
7641,4,0.5046234,2.9950104,0
9215,3,0.41204834,4.386917,0
11892,4,0.44552612,4.3665466,0
4913,36,-0.27708435,4.984253,0
4040,4,-0.14129639,4.9794006,0
3162,8,-0.3210144,4.91243,0
1276,21,-0.12579346,4.9374847,0
6075,3,0.35417175,4.8919983,0
8442,4,0.8292389,5.1066284,0
12557,5,0.6048126,4.485138,0
6617,7,0.44361877,4.977066,0
2424,5,-1.0815887,4.8126526,0
10052,4,0.67874146,4.6351013,0
5642,4,0.102645874,4.8491974,0
4497,4,0.15576172,5.1997375,0
219,2,-3.2986603,2.723755,0
133,4,-4.4188538,2.1603546,0
9423,4,0.39775085,4.486374,0
2884,6,-0.50341797,4.6769257,0
6767,0,0.39912415,5.0415344,0
4650,5,0.42936707,5.935669,0
8781,3,0.4493866,4.3517303,0
2912,4,-0.457489,4.681946,0
,124,-0.2,-0.2,1
5743,4,0.4209442,5.0598907,0
2110,4,-1.1465759,5.2365265,0
6181,4,0.27062988,4.869217,0
5071,4,0.37957764,5.241165,0
9141,3,0.3213501,4.4098053,0
12384,4,0.38812256,4.4168243,0
4591,8,-1.2091675,4.9651794,0
,156,-0.2,-0.2,1
2971,9,-0.4734192,4.7743835,0
12505,4,0.6097717,4.4082336,0
9201,5,0.36364746,4.402466,0
10716,3,0.88708496,4.7393646,0
4161,3,0.26461792,5.1737366,0
2849,6,-0.53089905,4.7090607,0
2157,4,-1.2260284,5.1033325,0
11403,4,0.25541687,4.3204193,0
5001,4,0.34817505,5.1566315,0
4266,3,0.103271484,5.075348,0
2458,4,-0.8658905,4.9674225,0
10290,4,0.84825134,4.7014313,0
9196,4,0.3474884,4.409195,0
9579,5,0.8114624,4.711319,0
774,5,-3.9848785,4.610977,0
5192,3,-0.11003113,4.89357,0
905,0,-2.304779,3.224289,0
2086,0,-1.3392792,5.2983246,0
3146,8,-0.40829468,4.7907715,0
9912,4,0.68014526,4.6159363,0
6872,8,0.39283752,4.9760437,0
4228,4,0.18971252,5.0057983,0
6056,4,0.5211792,5.066681,0
5728,4,0.31437683,4.88826,0
11177,7,0.47506714,4.396515,0
988,1,-2.2513123,3.7338257,0
2376,7,-1.1397858,4.984131,0
12329,4,0.33538818,4.2983856,0
5950,7,0.20059204,4.7256775,0
8673,8,0.42156982,4.580673,0
2763,8,-0.50408936,4.6575317,0
2560,4,-0.76651,4.961502,0
11454,8,0.458786,4.412918,0
3935,4,-0.40437317,4.8075256,0
3497,3,-0.4000244,4.8228607,0
719,16,-5.934784,3.127655,0
9786,4,0.6729584,4.6069794,0
1318,5,-0.31027222,5.2090454,0
481,3,-3.3783112,2.501068,0
7970,9,0.74479675,3.2426605,0
9645,4,0.618454,4.5803375,0
11600,6,0.41844177,4.4005585,0
,158,-0.2,-0.2,1
4818,1,0.40948486,5.3936615,0
6462,4,0.20091248,5.012985,0
10337,8,0.6441803,4.696884,0
1369,8,-0.55625916,4.8338623,0
3064,4,-0.31843567,4.8030396,0
7153,4,0.36894226,4.720993,0
5271,8,-0.22764587,4.8421173,0
,240,-0.2,-0.2,1
11857,4,0.509964,4.402466,0
3388,8,-0.45030212,4.8196716,0
2791,4,-0.5650635,4.6818542,0
9037,5,0.32730103,4.326599,0
2923,4,-0.44677734,4.704239,0
9294,8,0.40481567,4.4599304,0
10723,7,0.94429016,4.741867,0
2228,4,-1.151474,5.238373,0
71,0,-3.239853,2.845398,0
2353,4,-1.2475739,5.1024017,0
7041,5,0.34918213,4.7182007,0
2136,10,-1.204483,5.103653,0
